"ID","Gemeinde","Storyboard","Text","Staerkste_Partei"
33,"Kleinandelfingen ZH","Intro_unchanged_big_gap; Second_normal; Third_normal","Unangefochten bleibt in #Gemeinde_d die #Party_1_partei_bezeichnung_de die stärkste Partei. Sie vereinigte bei den Nationalratswahlen #Party_1_partei_staerke Prozent der Stimmen (#Party_1_plus_minus_d) auf sich, #Party_1_distance_to_next Prozentpunkte mehr als die zweitplatzierte #Party_2_partei_bezeichnung_de (#Party_2_partei_staerke Prozent, #Party_2_plus_minus_d). Die #Party_2_partei_bezeichnung_de ist die zweitstärkste Kraft in der Gemeinde. Sie kommt auf #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
34,"Laufen-Uhwiesen ZH","Intro_unchanged_big_gap; Second_normal; Third_big_jump_percentage","In #Gemeinde_d ist die #Party_1_partei_bezeichnung_de weiterhin mit deutlichem Abstand die grösste Partei. #Party_1_partei_staerke Prozent der Stimmen entfielen auf sie, #Party_1_distance_to_next Prozentpunkte mehr als die nächstgrössere Partei. Zweitstärkste Partei ist mit #Party_2_partei_staerke (#Party_2_plus_minus_d gegenüber 2019) die #Party_2_partei_bezeichnung_de. Third_big_jump_percentage","SVP"
35,"Marthalen ZH","Intro_unchanged_big_gap; Second_normal; Third_tie_fourth","Unangefochten bleibt in #Gemeinde_d die #Party_1_partei_bezeichnung_de die stärkste Partei. Sie vereinigte bei den Nationalratswahlen #Party_1_partei_staerke Prozent der Stimmen (#Party_1_plus_minus_d) auf sich, #Party_1_distance_to_next Prozentpunkte mehr als die zweitplatzierte #Party_2_partei_bezeichnung_de (#Party_2_partei_staerke Prozent, #Party_2_plus_minus_d). Die #Party_2_partei_bezeichnung_de ist die zweitstärkste Kraft in der Gemeinde. Sie kommt auf #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Third_tie_fourth","SVP"
37,"Ossingen ZH","Intro_unchanged_big_gap; Second_normal; Third_normal","Unangefochten bleibt in #Gemeinde_d die #Party_1_partei_bezeichnung_de die stärkste Partei. Sie vereinigte bei den Nationalratswahlen #Party_1_partei_staerke Prozent der Stimmen (#Party_1_plus_minus_d) auf sich, #Party_1_distance_to_next Prozentpunkte mehr als die zweitplatzierte #Party_2_partei_bezeichnung_de (#Party_2_partei_staerke Prozent, #Party_2_plus_minus_d). Mit einem Wählerstimmenanteil von #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d) ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
38,"Rheinau ZH","Spec_unchanged_1_2_3; ; ","Die Reihenfolge der Parteien in #Gemeinde_d hat sich im Vergleich zu den Wahlen 2019 nicht verändert: Die #Party_1_partei_bezeichnung_de blieb mit #Party_1_partei_staerke Prozent die stärkste Kraft, gefolgt von der #Party_2_partei_bezeichnung_de (#Party_2_partei_staerke Prozent, #Party_2_plus_minus_d) und der #Party_3_partei_bezeichnung_de (#Party_3_partei_staerke, #Party_3_plus_minus_d).  ","SVP"
39,"Thalheim an der Thur ZH","Intro_majority; Second_normal; Third_big_jump_percentage","#Gemeinde_d ist unbestrittenes Territorium der #Party_1_partei_bezeichnung_de. Die Partei holte eine absolute Mehrheit der Stimmen. Mit einem Wählerstimmenanteil von #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d) ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Third_big_jump_percentage","SVP"
40,"Trüllikon ZH","Intro_unchanged_big_gap; Second_normal; Third_big_jump_percentage","Mit deutlichem Abstand bleibt die #Party_1_partei_bezeichnung_de die grösste Partei in #Gemeinde_d. Ihre Parteistärke beträgt #Party_1_partei_staerke Prozent (#Party_1_plus_minus_d). Der Vorsprung auf die nächstgrössere Partei, die #Party_2_partei_bezeichnung_de ist gross: #Party_1_distance_to_next Prozentpunkte. Die #Party_2_partei_bezeichnung_de holte #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Die #Party_2_partei_bezeichnung_de ist die zweitstärkste Kraft in der Gemeinde. Sie kommt auf #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Third_big_jump_percentage","SVP"
41,"Truttikon ZH","Intro_unchanged_big_gap; Second_normal; Third_normal","Mit deutlichem Abstand bleibt die #Party_1_partei_bezeichnung_de die grösste Partei in #Gemeinde_d. Ihre Parteistärke beträgt #Party_1_partei_staerke Prozent (#Party_1_plus_minus_d). Der Vorsprung auf die nächstgrössere Partei, die #Party_2_partei_bezeichnung_de ist gross: #Party_1_distance_to_next Prozentpunkte. Die #Party_2_partei_bezeichnung_de holte #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Zweitstärkste Partei ist mit #Party_2_partei_staerke (#Party_2_plus_minus_d gegenüber 2019) die #Party_2_partei_bezeichnung_de. Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d). Speziell: In keiner anderen Gemeinde des Kantons war die GLP schwächer.","SVP"
43,"Volken ZH","Intro_unchanged_big_gap; Second_normal; Third_big_jump_percentage","In #Gemeinde_d ist die #Party_1_partei_bezeichnung_de weiterhin mit deutlichem Abstand die grösste Partei. #Party_1_partei_staerke Prozent der Stimmen entfielen auf sie, #Party_1_distance_to_next Prozentpunkte mehr als die nächstgrössere Partei. Die #Party_2_partei_bezeichnung_de ist die zweitstärkste Kraft in der Gemeinde. Sie kommt auf #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Third_big_jump_percentage","SVP"
51,"Bachenbülach ZH","Intro_normal; Second_normal; Third_normal","Unverändert ist die #Party_1_partei_bezeichnung_de die stärkste Partei in #Gemeinde_d geblieben, mit #Party_1_partei_staerke Prozent (#Party_1_plus_minus_d). Mit einem Wählerstimmenanteil von #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d) ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
52,"Bassersdorf ZH","Spec_unchanged_1_2_3; ; ","Keine Revolution in #Gemeinde_d: Unverändert belegten #Party_1_partei_bezeichnung_de, #Party_2_partei_bezeichnung_de und #Party_3_partei_bezeichnung_de die ersten drei Plätze. Sie holten #Party_1_partei_staerke (#Party_1_plus_minus_d), #Party_2_partei_staerke (#Party_2_plus_minus_d) respektive #Party_3_partei_staerke Prozent (#Party_3_plus_minus_d) der Stimmen.  ","SVP"
53,"Bülach ZH","Intro_normal; Second_normal; Third_big_jump_percentage","Keine Änderung an der Spitze in #Gemeinde_d: #Party_1_partei_bezeichnung_de holte wie vor vier Jahren die meisten Stimmen (#Party_1_partei_staerke Prozent, #Party_1_plus_minus_d). Mit einem Wählerstimmenanteil von #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d) ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Third_big_jump_percentage","SVP"
54,"Dietlikon ZH","Intro_normal; Second_normal; Third_big_jump_percentage","Unverändert ist die #Party_1_partei_bezeichnung_de die stärkste Partei in #Gemeinde_d geblieben, mit #Party_1_partei_staerke Prozent (#Party_1_plus_minus_d). Mit einem Wählerstimmenanteil von #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d) ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Third_big_jump_percentage","SVP"
55,"Eglisau ZH","Intro_normal; Second_big_jump_percentage; Third_normal","Keine Änderung an der Spitze in #Gemeinde_d: #Party_1_partei_bezeichnung_de holte wie vor vier Jahren die meisten Stimmen (#Party_1_partei_staerke Prozent, #Party_1_plus_minus_d). Mit einer markanten Verbesserung um #Party_2_differenz_partei_staerke Prozentpunkte ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Ihr Wählerstimmenanteil liegt neu bei #Party_2_partei_staerke Prozent. Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
56,"Embrach ZH","Intro_unchanged_big_gap; Second_normal; Third_big_jump_percentage","In #Gemeinde_d ist die #Party_1_partei_bezeichnung_de weiterhin mit deutlichem Abstand die grösste Partei. #Party_1_partei_staerke Prozent der Stimmen entfielen auf sie, #Party_1_distance_to_next Prozentpunkte mehr als die nächstgrössere Partei. Mit einem Wählerstimmenanteil von #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d) ist die #Party_2_partei_bezeichnung_de die zweitstärkste Kraft in der Gemeinde. Third_big_jump_percentage","SVP"
57,"Freienstein-Teufen ZH","Intro_unchanged_big_gap; Second_normal; Third_normal","Unangefochten bleibt in #Gemeinde_d die #Party_1_partei_bezeichnung_de die stärkste Partei. Sie vereinigte bei den Nationalratswahlen #Party_1_partei_staerke Prozent der Stimmen (#Party_1_plus_minus_d) auf sich, #Party_1_distance_to_next Prozentpunkte mehr als die zweitplatzierte #Party_2_partei_bezeichnung_de (#Party_2_partei_staerke Prozent, #Party_2_plus_minus_d). Zweitstärkste Partei ist mit #Party_2_partei_staerke (#Party_2_plus_minus_d gegenüber 2019) die #Party_2_partei_bezeichnung_de. Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
58,"Glattfelden ZH","Intro_unchanged_big_gap; Second_normal; Third_normal","Mit deutlichem Abstand bleibt die #Party_1_partei_bezeichnung_de die grösste Partei in #Gemeinde_d. Ihre Parteistärke beträgt #Party_1_partei_staerke Prozent (#Party_1_plus_minus_d). Der Vorsprung auf die nächstgrössere Partei, die #Party_2_partei_bezeichnung_de ist gross: #Party_1_distance_to_next Prozentpunkte. Die #Party_2_partei_bezeichnung_de holte #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Zweitstärkste Partei ist mit #Party_2_partei_staerke (#Party_2_plus_minus_d gegenüber 2019) die #Party_2_partei_bezeichnung_de. Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
59,"Hochfelden ZH","Intro_unchanged_big_gap; Second_normal; Third_big_jump_percentage","Mit deutlichem Abstand bleibt die #Party_1_partei_bezeichnung_de die grösste Partei in #Gemeinde_d. Ihre Parteistärke beträgt #Party_1_partei_staerke Prozent (#Party_1_plus_minus_d). Der Vorsprung auf die nächstgrössere Partei, die #Party_2_partei_bezeichnung_de ist gross: #Party_1_distance_to_next Prozentpunkte. Die #Party_2_partei_bezeichnung_de holte #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Zweitstärkste Partei ist mit #Party_2_partei_staerke (#Party_2_plus_minus_d gegenüber 2019) die #Party_2_partei_bezeichnung_de. Third_big_jump_percentage","SVP"
60,"Höri ZH","Intro_majority; Second_normal; Third_normal","#Gemeinde_d ist unbestrittenes Territorium der #Party_1_partei_bezeichnung_de. Die Partei holte eine absolute Mehrheit der Stimmen. Die #Party_2_partei_bezeichnung_de ist die zweitstärkste Kraft in der Gemeinde. Sie kommt auf #Party_2_partei_staerke Prozent (#Party_2_plus_minus_d). Die #Party_3_partei_bezeichnung_de landete mit #Party_3_partei_staerke Prozent auf dem dritten Platz (Veränderung gegenüber 2019: #Party_3_plus_minus_d).","SVP"
